hello|bonjour
school|école
cat|chat
dog|chien
his|son
him|lui
her|sa
aim|but
to be on duty|être disponible
to be off duty|ne pas être disponible
to require|éxiger
to consider doing|envisager de faire
to go in for|se spécialiser
in order to do| dans le but de
achievement|réalisation
improvement|amélioration
awkward|gênant
clumsy|maladroit, lourd
to get rid of|se débarasser de
to fail to do|échouer
to overcome|surmonter
to provide|fournir
to run out of|ne plus avoir
commitment|engagement
purpose|but
supply|fourniture, approvisionnement, offre
to arrange to do|prévoir de faire
to meet the needs of someone|répondre au besoin de quelqu'un
gift|don
greetings|voeux
threat|menace
fussy|difficile
reliable|sûr
grateful|reconnaissant
rude|grossier
to get in touch with|se mettre en rapport
to disapprove of|être contre
to congratulate|féciliter
to apologize|s'excuser
to get on/to get along with|s'entendre avec
to rely on|faire confiance
to annoy|agacer, irriter
to entertain|distraire
indeed|en effet
although|bien que
among|parmi
audience|publique
hence|donc
involve|impliquer
depreciassion|ammortissement
particule to|mouvement
defendant|accuser
due to|à cause de
unless|à moins que
carry|apporter
likelihood|probabilité
flowless|parfaite
retrofitted|évoluer
to prevent|empecher
to shateress|éclater en morceau
to burst|éclater violemment
almost|preque
tell|parler à
say|parler
a piece of software|application
software|logiciel
crew|équipage
coach|car
lorry|camion
tyre|pneu
engine|moteur
to fill up|remplir
hitch-hiking|auto-stop
timetable|horraire
inquiry/enquiry|demande de renseignement
tip|pourboire
single|aller
one-way|aller
return|aller-retour
round trip|aller-retour
to book|reserver
schoolmate|copain de classe
headmaster|directeur, proviseur
reward|récompense
ink|encre
mark/grade|note
tough|difficile
lecture|conférence, cours
to graduate from| diplomer de
to attend a school|faire des études
to take a subject|choisir une matière
quotation|citation
assigement|devoir écrit
grant|bourse
failure|échec
compulsory|obligatoire
savings|économie
currency|monnaie
wealth|richesse
be weel off| avoir de l'argent
to owe|devoir
branch|succursale
agreement|accord, contrat
economics| science économique
share/stock|part action
forecast|pévision
to run a firm|diriger une entreprise
to supply|fournir
loan|prêt, emprunt
deal|transaction
survey|étude
retirement|retraite
temp|emploi partiel
to resign|démissionner
to retire|partir à la retraite
application|demande d'emploi
vacancy|emploi vacant
union|syndicat
wage|salaire
trouble|conflit
rise/raise|augementation
to apply for a job|faire une demande d'emploi
to appoint|nommer
membership|adhésion
skilled|qualité
to fire|mettre à la porte
warning|avertissement
struggle|lutte
injury|blessure
helmet|casque
robbery|vol à main armée
rape|viol
flood|innondation
earthquake|tremblement de terre
unconsious|inconscient
severe|grave
to beat up|rouer de coups
to drown|noyer
to run down/over|renverser, écraser
to flow|couler
safely|en sureté
fail|prison
a mood|humeur
selfishness|égoisme
bitterness|amertume
pride|fierté
guilt|honte
anger|colère
row, argument|dispute
coward|lache
hint|allusion
fit|crise
delighted|ravi
merry|gai
ashamed|honteux
attractive|séduisant
gentle|doux
pathetic|navrant
suspicious|méfiant, suspect
appaling|épouventable
bad-tempered|grincheux
upset|vexé
dedicated|dévoué
amazing|stupéfiant
sadly|tristement
carefully|soigneuesement
to welcome|accueillir
to tolerate/tu put up with| tolérer, supporter
to bear/to stand|supporter
a thought|pensée
awareness|conscience
a piece of advice|conseil
a gift|don
wisdom|sagesse
a joke|blague
a fool|imbécile
a blank|trou de mémoire
an addiction|dépendance
a maniac|maniaque
odd|bizare
gifted|doué
accurate|précis
bored|qui s'ennui
wise|sage
weel-read|cultivé
puzzled|perplexe
irrelevant|hors de propos
dull|peu intelligent
narrow-mind|borne
insane|fou
consciously|consciemment
to indend to|avoir l'intention de
to focus on|se concentrer sur
to bore|ennuyer
to fancy|avoir envie de
a chore|corvée
a commuter|banlieusard travaillant en ville
know-how|savoir faire
a workaholic|un boureau de travail
smooth|lisse
glossy|brillant
to sweat|transpirer
to lack|manquer
accountancy|la comptabilité
grease|graisse
check-up|vérification
clay|argile
executive|cadre
a clerical job|un emploi de bureau
such|tellement
scenery|paysage
damage|dégât
unspoilt|intact
harmful|nocif
scarce|rare
widespread|répandu
disposable|jetable
to spoil|abimer
to throw away|jeter
to sort|trier
to ban|interdire
to cut down on|réduire
refuse|ordures
garbage|ordures
rubbish|ordures
trash|ordures
packaging|emballages
gross/net salary|salaire brut/net
affordable|abordable
to be in debt|être endetté
to cut down on one's expenses|réduire les dépenses
to splurge|dépenser
tax evasion|fraude fiscale
the welfare state|état providence
a corner shop|magasin de proximité
a shopping mall|centre commercial
DIY|magasin de bricolage
a wide range of items|large variété de produit
to make a purchase|faire des achats
to attend a customer|servir un client
a beggar|mendiant
to starve|mourrir de faim
the homeless|sans-abris
assitance|aide
unhealthy|insalubre
illiteracy|analphabétisme
the bare necessities|nécessaité de base
unemployement benefits|allocation chômage
to be job hunting|recherche d'un emploi
the labour market|marcher du travail
to hire, to take on|embaucher
sexual harassement|harcèlement sexuel
to commit a crime|commettre un crime
to break the law|enfreindre la loi
a manslaughter|homicide volontaire
to hit|frapper
to punch|donner un coup de poing
to kick|donner un coup de pied
ruthless, pitiless|sans pitier
to slander|diffamer
arson|incendie criminel
to set a fire|mettre le feu
a riot|émeute
a troublemaker| un fouteur de trouble
the inner city|ghetto
shoplifting|vol à l'étalage
to break into|entrer par effraction
a plain clothes detctive|detective en civile
unmarket police car|voiture de police banalisée
fingerprints|empreintes digitales
to place under arrest|mettre en état d'arrestation
to charge somebody with|inculper quelqu'un
the trial|procès
to plead|plaider
to make a confession|passer au aveux
evidence|preuve
to setence|infliger une peine
ro release/to set free|relâcher
to interfere with|se mêler de
to hang around|trainer
to be critical|critiquer
to blame adults|reprocher au adults
a family gathering|réunion de famille
to celebrate|fêter
to bring together|rassembler
the gues|inviter
the host|hôtes
to join in a conversation|se joindre à une conversation
talkative|bavard
to chat with someone|bavarder avec quelqu'un
laid back|décontracté
to make fun of|se moquer de
gossip|commèrages
considerate|atentionné
to pay compliment|faire un compliment
cheerful|joyeux, gais
human ressource|ressources humaines
job sharing|partage des emplois
CEO|PDG
a team leader|chef d'équipe
a floor manager|chef de rayon
a boss|patron
a new hire|nouvel employé
one's occupation|profession
an identification badge|badge d'identité
an employee handbook|convension
staff attendance/to be tardy|présence du personnel/être en retard
an employee expense voucher|note de frais
voucher|bon, recu
