last month|sengetsu
John, do you like the city?|Jonsan tokaiga suki desuka
The sky was blue|sorawa aokatta
it's sunday|nichiyoubi desu
welcome back!|okaeri nasai
hot|atsui
yellow|kiiroi
Mariko (does/did/is/etc)|Marikosanga
tatami|tatami
two minutes|nifun
that person ate sushi yesterday|ano hitowa kinou sushiwo tabemashita
how are you?|ogenki desuka
trash can|gomibako
two items|futatsu
Let's eat dinner at five o'clock|gojini bangohanwo tabemashou
chair|isu
cold (air)|samui
milk|gyuunyuu
please come to my house|watashino ieni kite kudasai
That is a blue car|arewa aoi kuruma desu
sliding paper door|shouji
back (body)|senaka
tv|terebi
I went to school at seven o'clock|shichijini gakkouni ikimashita
thursday|mokuyoubi
love (big like)|daisuki
wear (upper body) (*2)|kimasu kite
my mom went to the station|hahawa ekini ikimashita
every week|maishuu
whose family is this?|kono hitotachiwa dareno kazoku desuka
honda of japan|nihonno honda
i'm fine (thank you)|okagesama de
which way is the restaurant?|resutoranwa dochira desuka
there are rocks over there|ishiga asokoni arimasu
japanese clothing|wafuku
Mariko is sad|Marikosanwa kanashii
very|sugoku
cheap|yasui
i'm home!|tadaima
My cat is black|watashino nekowa kuroi
do you understand the roads = do you know the way?|michiga wakarimasuka
fat|futoi
Okay, I understand. Thank you, Doctor.|hai wakarimashita. sensei arigatou gozaimashita
spoon|supuun
who?|dare
Yeah, I think I'll buy three (these plate). What are you going with? (to Mariko)|un kono sarawo sanmai kaimashou. Marikosanwa nanni shimasuka
won't you sit down in the chair?|isuni suwarimasenka
How do you feel?|guaiwa dou desuka
(agreement seeker)|ne
in/at my car|watashino kurumani
January 1st|ichigatsu tsuitachi
condition|guai
what did John eat?|Jonsanwa naniwo tabemashitaka
five hundred|gohyaku
four|yon
Mariko is John's girlfriend|Marikosanwa Jonsanno kanojo desu
This is a white cat|korewa shiroi neko desu
verb expressing the existence of inanimate objects|aru
7:30 (different from 'half past seven')|shichiji sanjuppun
nine minutes|kyuufun
wednesday|suiyoubi
group of persons including parents, children...|kazoku
grandfather|ojiisan
I'm going to cook tonight|konban watashiwa ryori shimasu
who is it?|dare desuka
Goodnight|oyasumi nasai
subway|chikatetsu
science|kagaku
small|chiisai
there are rocks, trees, rivers and things like that|ishiya kiya kawaga arimasu
to come|kimasu
It's hot weather today, isn't it?|kyouwa atsui otenki desune
three (counter for animals)|sanbiki
and, etc. / store suffix|ya
green grape|masukanito
four items|yottsu
bill|satsu
bicycle|jitensha
ten|juu
i liked japan|nihonga suki deshita
i talk with Mariko every day|mainichi Marikosanto hanashimasu
she's not japanese|nihonjindewa arimasen
